colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,model,MSE,R2,Accuracy
0.9,0.05,3,3,300,0.5,2.0,0.7,XGBoost,0.02454189626128678,0.6458494681549669,0.6956521739130435
0.9,0.05,3,3,200,0.5,2.0,0.7,XGBoost,0.024587340545832462,0.645662477336919,0.6956521739130435
0.9,0.05,3,3,200,0.0,2.0,0.7,XGBoost,0.024483027829926025,0.6454634773083601,0.6956521739130435
0.7,0.05,5,1,200,0.5,1.0,0.9,XGBoost,0.02466478249981067,0.6453171898048867,0.6956521739130435
0.9,0.2,6,3,200,0.5,2.0,0.7,XGBoost,0.02493410177039353,0.6450694301750527,0.6956521739130435
0.7,0.05,5,3,300,0.5,1.0,0.9,XGBoost,0.02471789325403462,0.644792932806535,0.6956521739130435
0.7,0.05,5,3,200,0.5,1.0,0.9,XGBoost,0.024743541941844683,0.6446907647386971,0.6956521739130435
0.9,0.05,3,1,100,0.0,1.0,0.7,XGBoost,0.024677115964991288,0.6440554773499415,0.6956521739130435
0.9,0.05,3,1,300,0.5,1.0,0.7,XGBoost,0.02463719916866299,0.6440316033217472,0.6956521739130435
0.9,0.2,6,3,300,0.5,2.0,0.7,XGBoost,0.025033207584523248,0.6434653006536043,0.6956521739130435
0.7,0.1,6,3,100,0.0,2.0,0.9,XGBoost,0.02475253764793052,0.6427006961689756,0.6956521739130435
0.7,0.1,5,1,100,0.5,1.0,0.9,XGBoost,0.024815775155840228,0.6421857129400994,0.6956521739130435
0.9,0.05,3,3,100,0.5,2.0,0.7,XGBoost,0.02495706966236175,0.6415755381781956,0.6956521739130435
0.9,0.05,3,3,300,0.0,2.0,0.7,XGBoost,0.02477272174520567,0.6414654764459053,0.6956521739130435
0.7,0.1,5,3,100,0.0,1.0,0.9,XGBoost,0.02501878127768073,0.6409543244143204,0.6956521739130435
0.9,0.1,5,3,200,0.5,1.0,0.9,XGBoost,0.02502016689678292,0.6407161371958432,0.6956521739130435
0.7,0.05,6,1,200,0.5,2.0,0.9,XGBoost,0.024932172054609417,0.6407035691752853,0.6956521739130435
0.7,0.05,6,3,300,0.5,2.0,0.7,XGBoost,0.025033735658310696,0.6401032996355289,0.6956521739130435
0.7,0.05,6,1,100,0.0,1.0,0.7,XGBoost,0.025012763550183906,0.6395770478246532,0.6956521739130435
0.9,0.1,5,3,300,0.5,1.0,0.9,XGBoost,0.0251166102247608,0.6390721623501502,0.6956521739130435
0.7,0.05,5,1,100,0.5,2.0,0.7,XGBoost,0.025132812081328088,0.6390196374181081,0.6956521739130435
0.7,0.05,6,1,200,0.5,2.0,0.7,XGBoost,0.025181680109695518,0.6384743240119972,0.6956521739130435
0.9,0.1,3,3,100,0.5,1.0,0.9,XGBoost,0.025129126896752504,0.6382673691897324,0.6956521739130435
0.7,0.1,5,3,300,0.5,2.0,0.9,XGBoost,0.0253235363041695,0.6380373479209258,0.6956521739130435
0.7,0.05,6,1,300,0.5,2.0,0.7,XGBoost,0.025229239024479936,0.6380156167575242,0.6956521739130435
0.7,0.1,5,1,200,0.5,1.0,0.9,XGBoost,0.02507219685216518,0.6379263843660224,0.6956521739130435
0.7,0.05,6,3,100,0.0,1.0,0.7,XGBoost,0.02509046775125417,0.6378894155142376,0.6956521739130435
0.7,0.05,5,1,300,0.5,2.0,0.7,XGBoost,0.025169770132344563,0.637886110350231,0.6956521739130435
0.7,0.1,6,3,200,0.0,2.0,0.9,XGBoost,0.025140396813433507,0.637614126232282,0.6956521739130435
0.9,0.05,5,1,100,0.5,1.0,0.7,XGBoost,0.0251310634909156,0.6374078026699078,0.6956521739130435
0.9,0.1,3,1,100,0.0,1.0,0.9,XGBoost,0.025283047351103625,0.6373517285541919,0.6956521739130435
0.7,0.05,6,1,100,0.5,2.0,0.7,XGBoost,0.02528028231637063,0.637065756454528,0.6956521739130435
0.9,0.05,5,3,100,0.0,2.0,0.9,XGBoost,0.025253081427660473,0.6370570536588152,0.6956521739130435
0.9,0.05,5,1,300,0.0,2.0,0.9,XGBoost,0.025304809752211995,0.6369957046839181,0.6956521739130435
0.9,0.05,6,3,200,0.5,1.0,0.7,XGBoost,0.025326737750070466,0.6368437874085976,0.6956521739130435
0.9,0.05,6,3,200,0.5,1.0,0.9,XGBoost,0.02518833080909765,0.6367542093896993,0.6956521739130435
0.7,0.1,6,3,100,0.5,1.0,0.9,XGBoost,0.02515165223454068,0.636726352411254,0.6956521739130435
